ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,induction_min,Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min),Time standing,Recovery duration (min:sec),NA,Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,death_date,mortality,Collar end date,CaptureNAdeath duration,fate,collar_slip,notes_on_collar_recovery,notes_on_capture,Collar data
AB26,Manual,NA,NSW,Yantabulla,-29.256353,144.973638,20/09/2023 6:50,15.6,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,N,NA,NA,NA,20/09/2023 6:58,20/09/2023 7:00,1.75,NA,NA,NA,NA,NA,0:10:15,10.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB27,Manual,NA,NSW,nimmie,-34.516001,144.034982,19/03/2021 7:45,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,N,NA,NA,NA,19/03/2021 7:45,19/03/2021 7:49,4.02,NA,NA,NA,NA,NA,0:04:36,4.6,0,NA,5,NA,21/06/2022 18:01,NA,22/06/2022,22/06/2022 9:00,NA,460.05,dead_shotaerial,NA,NA,NA,NA
AB28,Manual,NA,NSW,willowtree,-31.800267,150.51079,19/12/2022 6:10,13,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,N,NA,NA,NA,19/12/2022 6:34,19/12/2022 6:38,3.25,NA,NA,NA,NA,NA,0:28:12,28.2,0,NA,5,NA,4/11/2023 21:00,NA,NA,NA,NA,NA,unknown_collarslip,321,NA,NA,NA
AB29,Manual,NA,NSW,Yantabulla,-29.257809,144.977931,21/09/2023 6:15,19.8,f,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,N,NA,NA,NA,21/09/2023 6:22,21/09/2023 6:26,3.33,NA,NA,NA,NA,NA,0:11:05,11.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB30,Manual,NA,NSW,Yantabulla,-29.291613,144.962408,21/09/2023 7:48,20.1,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,N,NA,NA,NA,21/09/2023 8:07,21/09/2023 8:11,3.17,NA,NA,NA,NA,NA,0:23:05,23.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB31,Manual,NA,NSW,Yantabulla,-29.29164,144.975308,20/09/2023 8:05,22.6,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,N,NA,NA,NA,20/09/2023 8:14,20/09/2023 8:16,1.67,NA,NA,NA,NA,NA,0:11:25,11.42,0,NA,23,NA,21/09/2023 5:00,NA,20/09/2023,20/09/2023 20:00,NA,0.5,dead_unknown,NA,assume capture myopathy,NA,NA
AB32,Manual,NA,NSW,willowtree,-31.800267,150.51079,19/12/2022 6:10,13,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,N,NA,NA,NA,19/12/2022 6:26,19/12/2022 6:28,2.75,NA,NA,NA,NA,NA,0:18:57,18.95,0,NA,5,NA,18/05/2023 9:01,NA,19/05/2023,19/05/2023 0:00,NA,150.74,dead_shotlandholder,NA,NA,NA,NA
AB33,Manual,NA,NSW,booligal,-33.812991,144.742944,21/10/2021 8:45,16.9,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,N,NA,NA,NA,21/10/2021 8:52,21/10/2021 8:56,3.78,NA,NA,NA,NA,NA,0:11:07,11.12,0,NA,3,NA,14/11/2021 10:00,NA,15/11/2021,15/11/2021 0:00,NA,24.64,dead_unknown,NA,NA,NA,NA
AB34,Manual,NA,NSW,Yantabulla,-29.25641,144.973758,19/09/2023 7:12,20.1,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,N,NA,NA,NA,19/09/2023 7:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2/08/2024 6:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB35,Manual,NA,NSW,booligal,-33.813679,144.810974,19/10/2021 7:55,11.9,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,N,NA,NA,NA,19/10/2021 8:07,19/10/2021 8:10,3.12,NA,NA,NA,NA,NA,0:15:22,15.37,0,NA,5,NA,NA,NA,11/02/2022,11/02/2022 0:00,NA,NA,dead_unknown,NA,NA,NA,NA
AB36,Manual,NA,NSW,booligal,-33.812946,144.742919,20/10/2021 8:10,13.7,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,N,NA,NA,NA,20/10/2021 8:15,20/10/2021 8:18,3.15,NA,NA,NA,NA,NA,0:08:38,8.63,0,NA,1,NA,4/12/2021 10:01,NA,5/12/2021,5/12/2021 0:00,NA,45.66,dead_unknown,NA,NA,NA,NA
AB37,Manual,NA,NSW,napnap,-34.44902,144.156856,19/03/2021 7:10,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,N,NA,NA,NA,19/03/2021 7:12,19/03/2021 7:17,5.42,NA,NA,NA,NA,NA,0:07:37,7.62,0,NA,15,NA,20/04/2022 8:01,NA,21/04/2022,21/04/2022 0:00,NA,397.7,unknown,NA,NA,NA,NA
AB38,Manual,NA,NSW,willowtree,-31.822863,150.503893,30/11/2022 6:56,15.6,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,N,NA,NA,NA,30/11/2022 7:18,30/11/2022 7:24,5.88,NA,NA,NA,NA,NA,0:28:31,28.52,1,bloody nose,5,NA,8/08/2023 17:00,NA,NA,NA,NA,NA,unknown_collarslip,251,NA,NA,NA
AB39,Manual,NA,NSW,marimley,-34.431,143.7,18/03/2021 7:40,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,N,NA,NA,NA,18/03/2021 7:42,18/03/2021 7:49,7.35,NA,NA,NA,NA,NA,0:09:41,9.68,0,NA,2,NA,29/11/2022 23:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB40,Manual,NA,NSW,Yantabulla,-29.25402,144.971334,19/09/2023 7:35,23.9,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,N,NA,NA,NA,19/09/2023 7:58,19/09/2023 8:01,3.12,NA,NA,NA,NA,NA,0:26:07,26.12,0,NA,NA,NA,30/11/2023 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB41,Manual,NA,NSW,Yantabulla,-29.257851,144.977894,20/09/2023 6:30,16.6,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,N,NA,NA,NA,20/09/2023 6:38,20/09/2023 6:40,2.33,NA,NA,NA,NA,NA,0:10:35,10.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB42,Manual,NA,NSW,Yantabulla,-29.308051,144.961183,20/09/2023 9:20,31.3,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,N,NA,NA,NA,20/09/2023 9:24,20/09/2023 9:25,1.58,NA,NA,NA,NA,NA,0:05:35,5.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB43,Manual,NA,NSW,nimmie,-34.515762,144.024655,17/03/2021 9:45,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,N,NA,NA,NA,17/03/2021 9:46,17/03/2021 9:51,5,NA,NA,NA,NA,NA,0:06:00,6,0,NA,5,NA,24/06/2022 18:01,NA,25/06/2022,25/06/2022 9:00,NA,464.97,dead_shotaerial,NA,NA,NA,NA
AB44,Manual,NA,NSW,Yantabulla,-29.295979,144.979313,19/09/2023 8:37,26.7,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,N,NA,NA,NA,19/09/2023 8:47,19/09/2023 8:49,2.17,NA,NA,NA,NA,NA,0:12:24,12.4,0,NA,NA,NA,30/09/2023 4:00,NA,29/09/2023,29/09/2023 19:00,NA,10.43,dead_shotlandholder,NA,recovered from Comeroo,NA,NA
AB45,Manual,NA,NSW,Yantabulla,-29.328107,144.9735,20/09/2023 10:00,37.7,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,N,NA,NA,NA,20/09/2023 10:03,20/09/2023 10:07,3.5,NA,NA,NA,NA,NA,0:07:15,7.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB46,Manual,NA,NSW,Yantabulla,-29.25402,144.971334,19/09/2023 7:28,22.5,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,N,NA,NA,NA,19/09/2023 7:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB47,Manual,NA,NSW,Yantabulla,-29.295979,144.979313,19/09/2023 8:37,26.9,f,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,N,NA,NA,NA,19/09/2023 8:50,19/09/2023 8:53,3.12,NA,NA,NA,NA,NA,0:16:52,16.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB48,Manual,NA,NSW,nimmie,-34.516309,144.024584,16/03/2021 10:10,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,N,NA,NA,NA,16/03/2021 10:16,16/03/2021 10:32,16.08,NA,NA,NA,NA,NA,0:22:05,22.08,0,NA,5,NA,7/09/2022 0:00,NA,NA,NA,NA,NA,dead_unknown,NA,NA,NA,NA
AB49,Manual,NA,NSW,nimmie,-34.515762,144.024655,17/03/2021 9:45,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,N,NA,NA,NA,17/03/2021 9:46,17/03/2021 9:55,9.23,NA,NA,NA,NA,NA,0:10:40,10.67,0,NA,5,NA,24/11/2021 1:00,NA,24/11/2021,24/11/2021 15:00,NA,252.22,dead_shotaerial,NA,NA,NA,NA
AB50,Manual,NA,NSW,Yantabulla,-29.296014,144.9792,20/09/2023 8:42,26.8,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,N,NA,NA,NA,20/09/2023 8:53,20/09/2023 8:56,3.08,NA,NA,NA,NA,NA,0:14:20,14.33,0,NA,NA,NA,10/01/2024 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB51,Manual,NA,NSW,booligal,-33.81369,144.810992,21/10/2021 7:52,17,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,N,NA,NA,NA,21/10/2021 8:02,21/10/2021 8:14,12.5,NA,NA,NA,NA,NA,0:22:42,22.7,0,NA,1,NA,28/11/2021 8:00,NA,6/07/2023,6/07/2023 0:00,NA,622.67,dead_shotlandholder,NA,"recovered with ear tag only, data stopped 39 days after capture, mortality is day killed",NA,NA
AB52,Manual,NA,NSW,willowtree,-31.822872,150.50396,19/12/2022 7:50,16,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,N,NA,NA,NA,19/12/2022 8:02,19/12/2022 8:08,5.73,NA,NA,NA,NA,NA,0:18:36,18.6,1,laceration rhs chest from tusk of another large pig in trap,3,NA,24/12/2022 15:01,NA,26/12/2022,26/12/2022 0:00,NA,6.67,dead_shotlandholder,NA,NA,NA,NA
AB53,Manual,NA,NSW,Yantabulla,-29.29164,144.975308,20/09/2023 8:15,22.6,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,N,NA,NA,NA,20/09/2023 8:28,20/09/2023 8:31,2.93,NA,NA,NA,NA,NA,0:16:11,16.18,0,NA,23,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB54,Manual,NA,NSW,booligal,-33.813679,144.810974,19/10/2021 7:55,11.9,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,N,NA,NA,NA,19/10/2021 8:17,19/10/2021 8:21,3.42,NA,NA,NA,NA,NA,0:26:10,26.17,0,NA,5,NA,30/01/2023 15:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB55,Manual,NA,NSW,Yantabulla,-29.329164,144.975308,20/09/2023 8:25,22.6,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,N,NA,NA,NA,20/09/2023 8:44,20/09/2023 8:47,3.13,NA,NA,NA,NA,NA,0:22:10,22.17,0,NA,NA,NA,10/01/2024 10:00,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB56,Manual,NA,NSW,Yantabulla,-29.296014,144.9792,20/09/2023 9:00,26.8,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,N,NA,NA,NA,20/09/2023 9:18,20/09/2023 9:22,3.6,NA,NA,NA,NA,NA,0:22:30,22.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB57,Manual,NA,NSW,marimley,-34.421912,143.730368,18/03/2021 8:18,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,N,NA,NA,NA,18/03/2021 8:18,18/03/2021 8:26,7.25,NA,NA,NA,NA,NA,0:08:05,8.08,0,NA,11,NA,17/05/2021 9:00,NA,18/05/2021,18/05/2021 0:00,NA,60.65,dead_unknown,NA,NA,NA,NA
AB58,Manual,NA,NSW,Yantabulla,-29.295979,144.979313,19/09/2023 8:28,26.9,f,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,N,NA,NA,NA,19/09/2023 8:47,19/09/2023 8:49,1.9,NA,NA,NA,NA,NA,0:21:02,21.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
AB59,Manual,NA,NSW,booligal,-33.812991,144.742944,21/10/2021 8:45,16.9,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,N,NA,NA,NA,21/10/2021 8:58,21/10/2021 9:02,4.05,NA,NA,NA,NA,NA,0:17:18,17.3,0,NA,3,NA,23/05/2022 12:00,NA,NA,NA,NA,NA,dead_unknown,NA,NA,NA,NA
