ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: Xylazine (mg/kg),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,Induction duration (min:sec),Induction duration (min),Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min:sec),Handling duration (min),Time standing,Recovery duration (min:sec),Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,mortality,Collar end date,Capture-death duration,Collar shed,fate,notes_on_collar_recovery,notes_on_capture,Doses,Collar data,,,,,,,,,
DM19,Pole syringe,NTLLS FMD Collared Pig 9,NSW,Windorah,-29.474975,151.213451,2/2/2023,26,f,Lactating ,35.80,,45414,Low ,Zoletil,1.90,5.31,,,,,,,Rump,04:00,,Deep,40.6,Y,Normal,Normal,,2/2/2023 8:44,2/2/2023 8:59,15:11,15.18,2/2/2023 8:59,0:00:24,,,0:19:35,19.58,0,,,,,,,,,,,,,,,,,,,,,,,
DM16,Pole syringe,NTLLS FMD Collared Pig 6,NSW,Maryland,-29.548622,151.321042,1/25/2023,33,m,-None Selected-,65.00,,45417,Moderate ,Zoletil,2.00,3.08,,,,,,,Rump,03:00,,Good,41.1,Y,Normal,Normal,,1/25/2023 15:41,1/25/2023 16:00,19:07,19.12,1/25/2023 17:20,1:19:57,,,1:42:04,42.07,0,,,,,,,,,,,,,,,,,,,,,,,
DM11,Pole syringe,NTLLS FMD Collared Pig 1,NSW,Windorah ,-29.475275,151.213568,1/17/2023,32,m,-None Selected-,61.20,,45416,Moderate ,Zoletil,2.00,3.27,,,,,,,Rump,03:00,,Good,40.4,Y,Normal,Normal,,1/17/2023 15:37,1/17/2023 15:58,20:28,20.47,1/17/2023 16:26,0:28:01,,,0:51:29,51.48,0,,,,,,,,,,,,,,,,,,,,,,,
DM49,Pole syringe,Eastern Collared Pig 29,NSW,Brown spur,-29.881327,152.279996,12/18/2022,15,m,-None Selected-,75.00,,45416,Moderate ,Zoletil,2.00,2.67,,,,,,,Rump,05:00,,Good,37.8,N,Normal,Normal,,12/18/2022 9:26,12/18/2022 9:52,26:12,26.20,12/18/2022 10:52,0:59:11,,,1:30:23,30.38,0,"Hughburt
Collar stopped working on the 10/9/23",,,,,,,,,,,,,,,,,,,,,,
DM48,Pole syringe,Eastern Collared Pig 61,NSW,Bowen’s NP Guy fawkes ,-29.91586,152.167986,9/16/2022,16,m,-None Selected-,60.40,,45415,Moderate ,Zoletil,2.00,3.31,,,,,,,Rump,07:00,,Good,38.3,N,Normal,Normal,,9/16/2022 11:58,9/16/2022 11:14,###############################################################################################################################################################################################################################################################,#NUM!,9/16/2022 12:10,0:56:02,,,0:19:03,19.05,,,,,,,,,,,,,,,,,,,,,,,,
DM47,Pole syringe,Eastern Collared Pig 60,NSW,Glen nevis,-29.923135,152.194711,9/11/2022,20,f,Pregnant ,52.40,,45415,Low ,Zoletil,2.00,3.82,,,,,,,Neck,05:00,,Deep,38.4,N,Normal,Normal,,9/11/2022 13:59,9/11/2022 14:20,20:58,20.97,9/11/2022 14:20,0:00:01,,,0:25:59,25.98,0,,,,,,,,,,,,,,,,,,,,,,,
DM44,Pole syringe,Eastern Collared Pig 57,NSW,Chard panel trap. Baileys property ,-29.897948,152.121885,9/7/2022,9,m,-None Selected-,42.00,,45415,Moderate ,Zoletil,2.00,4.76,,,,,,,Rump,04:00,,Good,39.1,N,Normal,Normal,,9/7/2022 9:55,9/7/2022 10:20,25:16,25.27,9/7/2022 10:50,0:30:12,,,0:59:28,59.47,0,,,,,,,,,,,,,,,,,,,,,,,
DM42,Pole syringe,Eastern Collared Pig 55,NSW,Guy fawkes,-29.920478,152.102483,9/6/2022,17,m,-None Selected-,68.00,,45416,Moderate ,Zoletil,2.10,3.09,,,,,,,Rump,03:00,,Good,38.5,N,Normal,Normal,,9/6/2022 11:06,9/6/2022 11:30,24:11,24.18,9/6/2022 12:07,0:37:13,,,1:04:24,4.40,0,,,,,,,,,,,,,,,,,,,,,,,
DM38,Pole syringe,Eastern Collared Pig 100,NSW,Darren’s place,-29.802945,151.926895,7/22/2022,9,m,-None Selected-,101.00,,45416,Low ,Zoletil,2.40,2.38,,,,,,,Rump,05:00,,Deep,35.7,N,Normal,Normal,,7/22/2022 13:19,7/22/2022 13:29,09:57,9.95,7/22/2022 13:44,0:15:16,,,0:30:13,30.22,0,,,,,,,,,,,,,,,,,,,,,,,
DM155,Pole syringe,Alpine Collared Pig 16,NSW,Shellgrove,-36.244652,149.336302,6/29/2022,-1,m,-None Selected-,56.00,,45416,Moderate ,Zoletil,2.00,3.57,,,,,,,Rump,03:00,,Good,37.8,N,Normal,Normal,,6/29/2022 9:12,6/29/2022 9:30,18:15,18.25,6/29/2022 10:12,0:42:10,,,1:03:25,3.42,0,,,,,,,,,,,,,,,,,,,,,,,
DM154,Pole syringe,Alpine Collared Pig 15,NSW,Shell grove,-36.244688,149.336299,6/28/2022,8,m,Non Lactating ,40.60,,45416,Low ,Zoletil,1.80,4.43,,,,,,,Rump,04:00,,Good,37.6,N,Normal,Normal,,6/28/2022 12:41,6/28/2022 12:55,13:30,13.50,6/28/2022 13:10,0:15:17,,,0:32:47,32.78,0,,,,,,,,,,,,,,,,,,,,,,,
DM153,Pole syringe,Alpine Collared Pig 14,NSW,Badaja mill,-36.058014,149.541665,6/28/2022,6,m,Non Lactating ,62.20,,45416,Low ,Zoletil,2.00,3.22,,,,,,,Rump,02:00,,Good,38.2,N,Normal,Normal,,6/28/2022 11:07,6/28/2022 11:39,32:06,32.10,6/28/2022 12:12,0:32:29,,,1:06:35,6.58,0,,,,,,,,,,,,,,,,,,,,,,,
DM152,Pole syringe,Alpine Collared Pig 13,NSW,Baja mill,-36.058169,149.541665,6/28/2022,6,f,Pregnant ,58.20,,45416,Low ,Zoletil,2.00,3.44,,,,,,,Rump,05:00,,Minimal ,37.8,N,Normal,Normal,,6/28/2022 11:04,6/28/2022 11:42,38:10,38.17,6/28/2022 11:58,0:16:00,,,0:59:10,59.17,,,,,,,,,,,,,,,,,,,,,,,,
DM151,Pole syringe,Alpine Collared Pig 12,NSW,Gaerloch,-36.223163,149.484232,6/28/2022,-1,m,Non Lactating ,76.00,,45416,Low ,Zoletil,2.00,2.63,,,,,,,Rump,03:00,,Good,35.8,N,Normal,Normal,,6/28/2022 9:12,6/28/2022 9:32,19:37,19.62,6/28/2022 10:02,0:30:20,,,0:52:57,52.95,0,,,,,,,,,,,,,,,,,,,,,,,
DM150,Pole syringe,Alpine Collared Pig 11,NSW,Shellgrove,-36.244677,149.33626,6/27/2022,6,m,Non Lactating ,54.60,,45415,Low ,Zoletil,2.00,3.66,,,,,,,Rump,03:00,,Good,38.3,N,Normal,Normal,,6/27/2022 16:44,6/27/2022 17:00,16:00,16.00,6/27/2022 17:53,0:53:13,,,1:12:13,12.22,0,,,,,,,,,,,,,,,,,,,,,,,
DM149,Pole syringe,Alpine Collared Pig 10,NSW,Undo the swamp,-36.173608,149.400228,6/27/2022,8,f,Pregnant ,51.00,,45416,Moderate ,Zoletil,2.00,3.92,,,,,,,Rump,03:00,,Deep,38.6,N,Normal,Normal,,6/27/2022 15:02,6/27/2022 15:26,24:13,24.22,6/27/2022 16:16,0:50:12,,,1:17:25,17.42,0,,,,,,,,,,,,,,,,,,,,,,,
DM79,Pole syringe,Mulgate Creek Collared Pig 9,NSW,PBI,-30.263488,149.819648,5/24/2022,21,m,-None Selected-,63.40,,45416,Moderate ,Zoletil,2.00,3.15,,,,,,,Rump,03:00,,Minimal ,39.9,N,Normal,Normal,,5/24/2022 13:42,5/24/2022 13:57,15:08,15.13,5/24/2022 15:06,1:09:23,,,1:27:31,27.52,0,,,,,,,,,,,,,,,,,,,,,,,
DM78,Pole syringe,Mulgate Creek Collared Pig 8,NSW,Lara,-30.259547,149.864092,5/18/2022,17,f,Pregnant ,56.00,,45416,Low ,Zoletil,2.10,3.75,,,,,,,Rump,04:00,,Deep,38.4,N,Normal,Normal,,5/18/2022 10:22,5/18/2022 10:40,17:55,17.92,5/18/2022 11:30,0:50:01,,,1:11:56,11.93,0,,,,,,,,,,,,,,,,,,,,,,,
DM148,Pole syringe,Alpine Collared Pig 64,NSW,Jinden,-35.900809,149.615616,4/22/2022,10,f,Pregnant ,107.00,,45417,Moderate ,Zoletil,2.30,2.15,,,,,,,Rump,05:00,,Minimal ,38.6,N,Normal,Normal,,4/22/2022 7:42,4/22/2022 8:29,47:54,47.90,4/22/2022 8:46,0:16:46,,,1:09:40,9.67,,,,,,,,,,,,,,,,,,,,,,,,
DM147,Pole syringe,Alpine Collared Pig 63,NSW,Jinden,-35.90079,149.615595,4/22/2022,9,m,-None Selected-,78.00,,45417,Moderate ,Zoletil,2.10,2.69,,,,,,,Rump,06:00,,Minimal ,38.7,N,Normal,Normal,,4/22/2022 7:52,4/22/2022 8:13,21:01,21.02,4/22/2022 8:36,0:23:03,,,0:50:04,50.07,,,,,,,,,,,,,,,,,,,,,,,,
DM146,Pole syringe,Alpine Collared Pig 62,NSW,Jinden,-35.894707,149.61311,4/21/2022,13,m,-None Selected-,74.00,,45417,Moderate ,Zoletil,2.10,2.84,,,,,,,Rump,04:00,,Good,37.3,N,Normal,Normal,,4/21/2022 10:41,4/21/2022 11:00,18:58,18.97,4/21/2022 11:38,0:38:28,,,1:01:26,1.43,0,,,,,,,,,,,,,,,,,,,,,,,
DM37,Pole syringe,Eastern Collared Pig 54,NSW,Glen burn ,-29.802667,151.926241,4/3/2022,19,m,-None Selected-,58.00,,45416,Low ,Zoletil,2.00,3.45,,,,,,,Rump,03:00,,Deep,38.7,N,Normal,Normal,,4/3/2022 11:46,4/3/2022 12:03,16:23,16.38,4/3/2022 12:57,0:54:02,,,1:13:25,13.42,0,,,,,,,,,,,,,,,,,,,,,,,
DM41,Pole syringe,Eastern Collared Pig 31,NSW,Oakwood state forest ,-29.901254,152.100844,3/11/2022,14,f,Pregnant ,44.00,,45416,Moderate ,Zoletil,2.00,4.55,,,,,,,Rump,04:00,,Good,37.1,N,Normal,Normal,,3/11/2022 9:34,3/11/2022 9:56,22:10,22.17,3/11/2022 10:44,0:47:17,,,1:13:27,13.45,0,Pig was shot. Collar was also shot and no longer works. Guy Ballard retrieved collar and left at Guyra ,,,,,,,,,,,,,,,,,,,,,,
DM33,Pole syringe,Eastern Collared Pig 50,NSW,Kingsgate station ,-29.810225,152.064518,3/3/2022,19,m,-None Selected-,53.60,,45415,Low ,Zoletil,2.00,3.73,,,,,,,Rump,05:00,,Good,38.5,N,Normal,Normal,,3/3/2022 9:54,3/3/2022 10:13,19:07,19.12,3/3/2022 11:07,0:54:00,,,1:18:07,18.12,0,,,,,,,,,,,,,,,,,,,,,,,
DM145,Pole syringe,Alpine Collared Pig 7,NSW,Mt Numeralla,-36.173834,149.399582,3/1/2022,20,f,Pregnant ,47.80,,45416,Moderate ,Zoletil,2.00,4.18,,,,,,,Rump,03:00,,Good,38.7,N,Normal,Normal,,3/1/2022 8:27,3/1/2022 8:55,27:46,27.77,3/1/2022 9:36,0:40:40,,,1:11:26,11.43,0,,,,,,,,,,,,,,,,,,,,,,,
DM32,Pole syringe,Eastern Collared Pig 49,NSW,Eastern river,-29.899928,152.012193,2/28/2022,15,m,-None Selected-,39.50,,45416,Low ,Zoletil,2.00,5.06,,,,,,,Rump,01:00,,Deep,38.5,N,Normal,Normal,,2/28/2022 12:47,2/28/2022 13:00,13:13,13.22,2/28/2022 14:13,1:13:02,,,1:27:15,27.25,1,"Left eye was infected. 1inch cut to the top of the head.

Died on the 1/5/2022",,,,,,,,,,,,,,,,,,,,,,
DM29,Pole syringe,Eastern Collared Pig 47,NSW,Kingsgate Station,-29.755585,151.980057,2/23/2022,18,m,-None Selected-,81.80,,45416,Moderate ,Zoletil,2.00,2.44,,,,,,,Rump,04:00,,Good,38.8,N,Normal,Normal,,2/23/2022 8:10,2/23/2022 8:31,21:53,21.88,2/23/2022 8:58,0:26:27,,,0:52:20,52.33,0,Collar never worked ,,,,,,,,,,,,,,,,,,,,,,
DM77,Pole syringe,Mulgate Creek Collared Pig 7,NSW,Nioka,-30.238381,149.965439,2/5/2022,22,m,-None Selected-,79.40,,45416,Moderate ,Zoletil,2.00,2.52,,,,,,,Rump,12:00,,Good,39.2,N,Normal,Normal,,2/5/2022 8:38,2/5/2022 9:09,31:34,31.57,2/5/2022 9:10,0:00:24,,,0:43:58,43.97,,Collar had to have leather extension strap attached as original collar size was to small.,,,,,,,,,,,,,,,,,,,,,,
DM76,Pole syringe,Mulgate Creek Collared Pig 6,NSW,Nioka ,-30.238333,149.965483,2/4/2022,25,f,Pregnant ,64.40,,45417,Low ,Zoletil,2.10,3.26,,,,,,,Rump,04:00,,Deep,38.5,N,Normal,Normal,,2/4/2022 17:20,2/4/2022 17:39,18:57,18.95,2/4/2022 18:07,0:28:02,,,0:50:59,50.98,0,,,,,,,,,,,,,,,,,,,,,,,
DM75,Pole syringe,Mulgate Creek Collared Pig 5,NSW,Nioka,-30.245684,149.964887,2/4/2022,26,m,-None Selected-,55.80,,45415,Low ,Zoletil,2.00,3.58,,,,,,,Rump,08:00,,Deep,39,N,Normal,Normal,,2/4/2022 16:38,2/4/2022 17:00,22:08,22.13,2/4/2022 18:33,1:32:47,,,2:02:55,2.92,,,,,,,,,,,,,,,,,,,,,,,,
DM144,Pole syringe,Alpine Collared Pig 9,NSW,M and S farmSiege,-36.651109,149.387947,2/4/2022,15,m,-None Selected-,55.00,,45416,High,Zoletil,2.00,3.64,,,,,,,Rump,03:00,,Good,37.8,N,Normal,Normal,,2/4/2022 11:56,2/4/2022 12:37,40:09,40.15,2/4/2022 13:47,1:10:04,,,1:53:13,53.22,0,,,,,,,,,,,,,,,,,,,,,,,
DM143,Pole syringe,Alpine Collared Pig 8,NSW,"M and S Farm

Mareea",-36.65503,149.367539,2/4/2022,15,f,Lactating ,44.90,,45415,High,Zoletil,2.00,4.45,,,,,,,Rump,02:00,,Good,38.4,N,Normal,Normal,,2/4/2022 11:55,2/4/2022 12:30,35:06,35.10,2/4/2022 13:57,1:27:21,,,2:04:27,4.45,0,,,,,,,,,,,,,,,,,,,,,,,
DM142,Pole syringe,Alpine Collared Pig 6,NSW,Green Hills,-35.996721,149.466806,12/21/2021,25,f,Pregnant ,44.20,,45416,Moderate ,Zoletil,2.00,4.52,,,,,,,Rump,06:00,,Minimal ,39.1,N,Normal,Normal,,12/21/2021 11:11,12/21/2021 11:48,36:10,36.17,12/21/2021 12:12,0:24:29,,,1:06:39,6.65,,,,,,,,,,,,,,,,,,,,,,,,
DM141,Pole syringe,Alpine Collared Pig 61,NSW,Krawarree,-35.853732,149.582661,12/16/2021,19,f,Pregnant ,60.40,,45416,Moderate ,Zoletil,2.00,3.31,,,,,,,Rump,04:00,,Good,37.8,N,Normal,Normal,,12/16/2021 11:36,12/16/2021 12:00,24:07,24.12,12/16/2021 13:08,1:07:59,,,1:36:06,36.10,0,,,,,,,,,,,,,,,,,,,,,,,
DM140,Pole syringe,Alpine Collared Pig 60,NSW,Jinden,-35.894695,149.61311,12/16/2021,19,m,-None Selected-,52.20,,45417,Moderate ,Zoletil,2.00,3.83,,,,,,,Rump,03:00,,Good,39.8,N,Normal,Normal,,12/16/2021 9:52,12/16/2021 10:12,19:57,19.95,12/16/2021 10:37,0:24:41,,,0:47:38,47.63,0,,,,,,,,,,,,,,,,,,,,,,,
DM139,Pole syringe,Alpine Collared Pig 59,NSW,The Junction,-35.702934,149.862159,12/15/2021,21,f,Lactating ,32.40,,45413,Low ,Zoletil,1.90,5.86,,,,,,,Rump,02:00,,Deep,38.2,N,Normal,Normal,,12/15/2021 9:43,12/15/2021 10:18,35:15,35.25,12/15/2021 11:30,1:11:34,,,1:48:49,48.82,0,2 x swims in Araluen Creek,,,,,,,,,,,,,,,,,,,,,,
DM138,Pole syringe,Alpine Collared Pig 58,NSW,Telowar,-35.705454,149.756706,12/15/2021,20,f,Pregnant ,58.40,,45415,High,Zoletil,2.00,3.42,,,,,,,Rump,03:00,,Good,36.2,N,Normal,Normal,,12/15/2021 7:00,12/15/2021 7:15,15:12,15.20,12/15/2021 8:04,0:48:55,,,1:07:07,7.12,0,,,,,,,,,,,,,,,,,,,,,,,
DM137,Pole syringe,Alpine Collared Pig 55,NSW,Tim Reynolds,-35.698645,149.755001,12/15/2021,18,f,Pregnant ,54.40,,45415,High,Zoletil,2.00,3.68,,,,,,,Rump,03:00,,Good,37.2,N,Normal,Normal,,12/15/2021 6:15,12/15/2021 6:32,17:21,17.35,12/15/2021 7:18,0:45:26,,,1:05:47,5.78,0,,,,,,,,,,,,,,,,,,,,,,,
DM136,Pole syringe,AlpineCollared Pig 56,NSW,Krewaree,-35.853742,149.582589,12/14/2021,24,m,-None Selected-,60.40,,45416,Moderate ,Zoletil,2.00,3.31,,,,,,,Rump,03:00,,Deep,35.5,N,Normal,Normal,,12/14/2021 10:03,12/14/2021 10:55,51:39,51.65,12/14/2021 10:56,0:01:19,,,0:55:58,55.97,0,,,,,,,,,,,,,,,,,,,,,,,
DM135,Pole syringe,Alpine Collared Pig 57,NSW,Krawaree,-35.853791,149.582698,12/14/2021,24,m,-None Selected-,92.00,,45416,Moderate ,Zoletil,2.10,2.28,,,,,,,Rump,06:00,,Good,36,N,Normal,Normal,,12/14/2021 10:07,12/14/2021 10:43,35:38,35.63,12/14/2021 11:05,0:21:42,,,1:03:20,3.33,,,,,,,,,,,,,,,,,,,,,,,,
DM134,Pole syringe,Alpine Collared Pig 55a,NSW,Don Collett,-35.682028,149.753142,11/15/2021,16,f,Pregnant ,108.40,,45417,High,Zoletil,2.50,2.31,,,,,,,Rump,04:00,,Minimal ,38.2,N,Normal,Normal,,11/15/2021 6:10,11/15/2021 6:36,25:52,25.87,11/15/2021 7:12,0:35:57,,,1:05:49,5.82,0,,,,,,,,,,,,,,,,,,,,,,,
DM133,Pole syringe,Alpine Collared Pig 54,NSW,Don Collett,-35.679603,149.751447,11/15/2021,16,m,Non Lactating ,73.00,,45416,High,Zoletil,2.40,3.29,,,,,,,Rump,03:00,,Good,39.6,N,Normal,Normal,,11/15/2021 5:22,11/15/2021 5:42,20:08,20.13,11/15/2021 6:36,0:53:39,,,1:16:47,16.78,0,,,,,,,,,,,,,,,,,,,,,,,
DM132,Pole syringe,Alpine Collared Pig 106,NSW,Losbys,-34.506132,150.052471,11/10/2021,16,f,Pregnant ,43.40,,45415,Low ,Zoletil,2.00,4.61,,,,,,,Rump,03:00,,Minimal ,38.4,N,Normal,Normal,,11/10/2021 9:00,11/10/2021 9:28,28:10,28.17,11/10/2021 10:00,0:32:06,,,1:03:16,3.27,0,,,,,,,,,,,,,,,,,,,,,,,
DM131,Pole syringe,Alpine Collared Pig 105,NSW,Lowsebys,-34.506132,150.052557,11/10/2021,16,m,-None Selected-,62.00,,45416,Low ,Zoletil,2.00,3.23,,,,,,,Rump,03:00,,Minimal ,36,N,Normal,Normal,,11/10/2021 8:58,11/10/2021 9:21,23:24,23.40,11/10/2021 9:21,0:00:06,,,0:26:30,26.50,0,,,,,,,,,,,,,,,,,,,,,,,
DM130,Pole syringe,Alpine Collared Pig 53,NSW,Alpine,-35.849404,149.790383,11/9/2021,18,m,-None Selected-,80.00,,45417,High,Zoletil,2.40,3.00,,,,,,,Rump,04:00,,Good,38,N,Normal,Normal,,11/9/2021 7:09,11/9/2021 7:26,17:09,17.15,11/9/2021 7:35,0:08:31,,,0:29:40,29.67,0,,,,,,,,,,,,,,,,,,,,,,,
DM129,Pole syringe,Western Collared Pig 42,NSW,"My Jack
",-30.806189,143.777287,10/14/2021,17,m,-None Selected-,49.00,,45416,Moderate ,Zoletil,2.00,4.08,,,,,,,Rump,04:00,,Good,35.8,N,Normal,Normal,,10/14/2021 7:46,10/14/2021 7:57,10:44,10.73,10/14/2021 8:18,0:21:24,,,0:36:08,36.13,0,,,,,,,,,,,,,,,,,,,,,,,
DM128,Pole syringe,Western Collared Pig 41,NSW,"Mt Jack
",-30.806955,143.763647,10/13/2021,23,f,Pregnant ,49.00,,45415,Moderate ,Zoletil,2.00,4.08,,,,,,,Rump,03:00,,Good,38.4,N,Normal,Normal,,10/13/2021 9:16,10/13/2021 9:32,15:16,15.27,10/13/2021 11:20,1:48:05,,,2:06:21,6.35,0,,,,,,,,,,,,,,,,,,,,,,,
DM126,Pole syringe,Western Collared Pig 39,NSW,Mt Jack,-30.866131,143.656111,10/11/2021,12,m,-None Selected-,68.60,,45416,Moderate ,Zoletil,2.10,3.06,,,,,,,Rump,14:00,,Minimal ,39.4,N,Normal,Normal,,10/11/2021 10:28,10/11/2021 11:01,33:09,33.15,10/11/2021 11:43,0:42:04,,,1:29:13,29.22,,"Time to induction 14 mins and fought it the whole way

Paddling during process",,,,,,,,,,,,,,,,,,,,,,
DM125,Pole syringe,Western Collared Pig 38,NSW,Mt Jack,-30.82679,143.742426,10/10/2021,20,m,-None Selected-,68.40,,45415,Moderate ,Zoletil,2.00,2.92,,,,,,,Rump,02:00,,Good,36,N,Normal,Normal,,10/10/2021 8:55,10/10/2021 9:20,24:58,24.97,10/10/2021 10:00,0:40:03,,,1:07:01,7.02,0,,,,,,,,,,,,,,,,,,,,,,,
DM124,Pole syringe,Western Collared Pig 37,NSW,"My Jack
",-30.807173,143.679457,10/10/2021,18,m,-None Selected-,62.80,,45415,Moderate ,Zoletil,1.80,2.87,,,,,,,Rump,04:00,,Good,36.6,N,Normal,Normal,,10/10/2021 7:00,10/10/2021 7:20,20:53,20.88,10/10/2021 8:46,1:25:09,,,1:50:02,50.03,0,,,,,,,,,,,,,,,,,,,,,,,
DM123,Pole syringe,Western Collared Pig 36,NSW,CMt Jack,-30.866205,143.656197,10/9/2021,27,m,-None Selected-,63.80,,45416,Moderate ,Zoletil,2.00,3.13,,,,,,,Rump,05:00,,Good,39.4,N,Normal,Normal,,10/9/2021 9:15,10/9/2021 9:37,21:41,21.68,10/9/2021 10:14,0:36:57,,,1:03:38,3.63,,,,,,,,,,,,,,,,,,,,,,,,
